"date","boxscore","team","home_or_away","opponent","win_or_loss","runs","runs_allowed","innings","win_loss_record","rank","win","loss","save","time","day_or_night","attendance","streak","originally_scheduled","year","games_ahead","run_diff","r_so_far","ra_so_far","rd_so_far","wins_so_far","losses_so_far","win_loss_differential","record_so_far","attendance_so_far"
"Monday, Sep 21","None","NYY","None","CLE","L",4,8,"None","65-59",4,"None","None","None","None","None",NA,"-","None",1903,-19,-4,514,523,-9,67,60,7,0.52755905511811,NA
"Tuesday, Sep 22","None","NYY","None","CLE","L",4,5,"None","65-60",4,"None","None","None","None","None",NA,"--","None",1903,-19,-1,518,528,-10,67,61,6,0.5234375,NA
"Wednesday, Sep 23","None","NYY","None","SLB","L",4,7,"None","65-61",4,"None","None","None","None","None",NA,"---","None",1903,-18,-3,522,535,-13,67,62,5,0.51937984496124,NA
"Wednesday, Sep 23","None","NYY","None","SLB","W",4,1,"None","66-61",4,"None","None","None","None","None",NA,"+","1903-06-08 (Rain)",1903,-18,3,526,536,-10,68,62,6,0.523076923076923,NA
"Thursday, Sep 24","None","NYY","None","SLB","W",6,2,"None","67-61",4,"None","None","None","None","None",NA,"++","None",1903,-17.5,4,532,538,-6,69,62,7,0.526717557251908,NA
"Thursday, Sep 24","None","NYY","None","SLB","W",8,6,"None","68-61",4,"None","None","None","None","None",NA,"+++","1903-06-10 (Rain)",1903,-17.5,2,540,544,-4,70,62,8,0.53030303030303,NA
"Friday, Sep 25","None","NYY","None","SLB","W",8,2,"None","69-61",4,"None","None","None","None","None",NA,"++++","None",1903,-17,6,548,546,2,71,62,9,0.533834586466165,NA
"Saturday, Sep 26","None","NYY","None","DET","L",8,13,"None","69-62",4,"None","None","None","None","None",NA,"-","None",1903,-17,-5,556,559,-3,71,63,8,0.529850746268657,NA
"Saturday, Sep 26","None","NYY","None","DET","W",5,1,"None","70-62",4,"None","None","None","None","None",NA,"+","1903-06-12 (Rain)",1903,-17,4,561,560,1,72,63,9,0.533333333333333,NA
"Monday, Sep 28","None","NYY","None","DET","W",7,6,"None","71-62",4,"None","None","None","None","None",NA,"++","None",1903,-17.5,1,568,566,2,73,63,10,0.536764705882353,NA
"Tuesday, Sep 29","None","NYY","None","DET","W",10,4,"None","72-62",4,"None","None","None","None","None",NA,"+++","None",1903,-17,6,578,570,8,74,63,11,0.54014598540146,NA
"Friday, Apr 15","None","NYY","None","BOS","L",1,4,"None","1-1",4,"None","None","None","None","None",NA,"-","None",1904,-0.5,-3,1,4,-3,0,1,-1,0,NA
"Saturday, Apr 16","None","NYY","None","BOS","L",6,12,"None","1-2",6,"None","None","None","None","None",NA,"--","None",1904,-1.5,-6,7,16,-9,0,2,-2,0,NA
"Monday, Apr 18","None","NYY","None","PHA","L",1,5,"None","1-3",6,"None","None","None","None","None",NA,"---","None",1904,-2.5,-4,8,21,-13,0,3,-3,0,NA
"Tuesday, Apr 19","None","NYY","None","PHA","W",5,4,"None","2-3",5,"None","None","None","None","None",NA,"+","None",1904,-2.5,1,13,25,-12,1,3,-2,0.25,NA
"Thursday, Apr 21","None","NYY","@","PHA","L",2,3,"None","2-4",7,"None","None","None","None","None",NA,"-","1904-04-27 (Schedule change)",1904,-3,-1,15,28,-13,1,4,-3,0.2,NA
"Friday, Apr 22","None","NYY","@","WSH","W",2,0,"None","3-4",5,"None","None","None","None","None",NA,"+","None",1904,-3,2,17,28,-11,2,4,-2,0.333333333333333,NA
